cr_year,country_name,cc_total,articles,prop
2017,Andorra,0,1,0
2017,United Arab Emirates,2,106,0.018867924528301886
2017,Afghanistan,0,1,0
2017,Albania,0,6,0
2017,Armenia,0,12,0
2017,Angola,0,2,0
2017,Argentina,10,686,0.014577259475218658
2017,Austria,165,1126,0.14653641207815277
2017,Australia,173,8260,0.020944309927360776
2017,Azerbaijan,0,8,0
2017,Bosnia & Herzegovina,2,20,0.1
2017,Barbados,0,2,0
2017,Bangladesh,3,111,0.02702702702702703
2017,Belgium,66,1577,0.04185161699429296
2017,Burkina Faso,0,9,0
2017,Bulgaria,4,82,0.04878048780487805
2017,Bahrain,0,7,0
2017,Burundi,0,6,0
2017,Benin,1,15,0.06666666666666667
2017,Bermuda,0,1,0
2017,Brunei,0,10,0
2017,Bolivia,0,11,0
2017,Brazil,18,3194,0.005635566687539136
2017,Bahamas,0,5,0
2017,Botswana,0,8,0
2017,Belarus,2,18,0.1111111111111111
2017,Canada,218,5868,0.03715064758009543
2017,Congo - Kinshasa,0,13,0
2017,Central African Republic,0,1,0
2017,Congo - Brazzaville,0,1,0
2017,Switzerland,150,2347,0.06391137622496805
2017,Côte d’Ivoire,1,14,0.07142857142857142
2017,Chile,7,450,0.015555555555555555
2017,Cameroon,2,38,0.05263157894736842
2017,China,332,22504,0.014752932811944543
2017,Colombia,2,215,0.009302325581395349
2017,Costa Rica,1,24,0.041666666666666664
2017,Cuba,2,39,0.05128205128205128
2017,Cyprus,2,69,0.028985507246376812
2017,Czechia,20,783,0.02554278416347382
2017,Germany,535,10596,0.050490751226878065
2017,Denmark,78,1741,0.04480183802412407
2017,Dominican Republic,0,2,0
2017,Algeria,0,136,0
2017,Ecuador,0,52,0
2017,Estonia,1,104,0.009615384615384616
2017,Egypt,5,726,0.006887052341597796
2017,Eritrea,1,1,1
2017,Spain,147,4111,0.03575772318170761
2017,Ethiopia,5,88,0.056818181818181816
2017,Finland,69,1007,0.06852035749751738
2017,Fiji,1,10,0.1
2017,Falkland Islands,0,2,0
2017,Faroe Islands,1,3,0.3333333333333333
2017,France,176,5058,0.03479636219849743
2017,Gabon,0,4,0
2017,United Kingdom,2302,12657,0.1818756419372679
2017,Grenada,0,22,0
2017,Georgia,0,15,0
2017,French Guiana,0,9,0
2017,Ghana,3,64,0.046875
2017,Gibraltar,0,1,0
2017,Greenland,1,3,0.3333333333333333
2017,Gambia,3,4,0.75
2017,Guinea,0,3,0
2017,Guadeloupe,0,3,0
2017,Equatorial Guinea,0,1,0
2017,Greece,13,642,0.020249221183800622
2017,Guatemala,0,3,0
2017,Guam,0,4,0
2017,Guinea-Bissau,1,2,0.5
2017,Guyana,0,1,0
2017,Hong Kong SAR China,17,996,0.01706827309236948
2017,Honduras,0,1,0
2017,Croatia,1,190,0.005263157894736842
2017,Hungary,16,340,0.047058823529411764
2017,Indonesia,3,111,0.02702702702702703
2017,Ireland,25,757,0.03302509907529723
2017,Israel,34,1215,0.027983539094650206
2017,India,21,4992,0.004206730769230769
2017,Iraq,1,41,0.024390243902439025
2017,Iran,6,2283,0.002628120893561104
2017,Iceland,4,59,0.06779661016949153
2017,Italy,148,5008,0.029552715654952075
2017,Jersey,0,7,0
2017,Jamaica,0,9,0
2017,Jordan,2,102,0.0196078431372549
2017,Japan,378,8055,0.04692737430167598
2017,Kenya,15,70,0.21428571428571427
2017,Kyrgyzstan,0,2,0
2017,Cambodia,0,4,0
2017,St. Kitts & Nevis,1,5,0.2
2017,South Korea,55,4164,0.013208453410182517
2017,Kuwait,0,33,0
2017,Kazakhstan,1,32,0.03125
2017,Laos,1,2,0.5
2017,Lebanon,1,98,0.01020408163265306
2017,Liechtenstein,0,6,0
2017,Sri Lanka,4,42,0.09523809523809523
2017,Lesotho,0,2,0
2017,Lithuania,2,90,0.022222222222222223
2017,Luxembourg,12,64,0.1875
2017,Latvia,1,35,0.02857142857142857
2017,Libya,0,13,0
2017,Morocco,0,79,0
2017,Monaco,1,6,0.16666666666666666
2017,Moldova,0,8,0
2017,Montenegro,0,2,0
2017,Madagascar,1,6,0.16666666666666666
2017,North Macedonia,0,21,0
2017,Myanmar (Burma),0,10,0
2017,Mongolia,0,5,0
2017,Macao SAR China,1,71,0.014084507042253521
2017,Martinique,0,2,0
2017,Mauritania,0,1,0
2017,Montserrat,0,1,0
2017,Malta,1,30,0.03333333333333333
2017,Mauritius,0,3,0
2017,Maldives,0,1,0
2017,Malawi,1,11,0.09090909090909091
2017,Mexico,14,832,0.016826923076923076
2017,Malaysia,11,516,0.02131782945736434
2017,Mozambique,1,6,0.16666666666666666
2017,Namibia,0,6,0
2017,New Caledonia,0,8,0
2017,Niger,0,6,0
2017,Nigeria,8,171,0.04678362573099415
2017,Netherlands,732,3606,0.20299500831946754
2017,Norway,157,1085,0.1447004608294931
2017,Nepal,2,19,0.10526315789473684
2017,New Zealand,34,1071,0.031746031746031744
2017,Oman,0,43,0
2017,Panama,1,26,0.038461538461538464
2017,Peru,1,56,0.017857142857142856
2017,French Polynesia,2,7,0.2857142857142857
2017,Papua New Guinea,0,3,0
2017,Philippines,3,91,0.03296703296703297
2017,Pakistan,3,380,0.007894736842105263
2017,Poland,38,1315,0.028897338403041824
2017,Puerto Rico,1,33,0.030303030303030304
2017,Palestinian Territories,1,16,0.0625
2017,Portugal,21,909,0.0231023102310231
2017,Paraguay,0,21,0
2017,Qatar,5,89,0.056179775280898875
2017,Réunion,0,4,0
2017,Romania,3,176,0.017045454545454544
2017,Serbia,0,223,0
2017,Russia,11,1056,0.010416666666666666
2017,Rwanda,2,7,0.2857142857142857
2017,Saudi Arabia,20,530,0.03773584905660377
2017,Seychelles,0,1,0
2017,Sudan,1,12,0.08333333333333333
2017,Sweden,262,2298,0.11401218450826806
