cr_year,cat,article_total,name,oa_articles,oa_share
2017,Global,2283,Crossref,23,0.010074463425317565
2017,Global,2283,Unpaywall,493,0.21594393342093737
2018,Global,2244,Crossref,37,0.016488413547237075
2018,Global,2244,Unpaywall,511,0.22771836007130125
2019,Global,2264,Crossref,0,0
2019,Global,2264,Unpaywall,482,0.21289752650176677
2020,Global,2386,Crossref,448,0.18776194467728416
2020,Global,2386,Unpaywall,654,0.2740989103101425
2021,Global,2202,Crossref,62,0.02815622161671208
2021,Global,2202,Unpaywall,947,0.430063578564941
2022,Global,2125,Crossref,4,0.0018823529411764706
2022,Global,2125,Unpaywall,1179,0.5548235294117647
2023,Global,2022,Crossref,207,0.10237388724035608
2023,Global,2022,Unpaywall,1125,0.5563798219584569
2024,Global,1891,Crossref,1169,0.6181914331041777
2024,Global,1891,Unpaywall,1110,0.5869910100475939
2025,Global,933,Crossref,549,0.5884244372990354
2025,Global,933,Unpaywall,525,0.5627009646302251
