cr_year,jn_all,cc,cc_total,prop
2017,349,CC BY,0,0
2017,349,CC BY-SA,0,0
2017,349,CC BY-NC,0,0
2017,349,CC BY-NC-SA,0,0
2017,349,CC BY-ND,0,0
2017,349,CC BY-NC-ND,0,0
2018,420,CC BY,14,0.03333333333333333
2018,420,CC BY-SA,0,0
2018,420,CC BY-NC,0,0
2018,420,CC BY-NC-SA,0,0
2018,420,CC BY-ND,0,0
2018,420,CC BY-NC-ND,0,0
2019,447,CC BY,145,0.3243847874720358
2019,447,CC BY-SA,0,0
2019,447,CC BY-NC,0,0
2019,447,CC BY-NC-SA,0,0
2019,447,CC BY-ND,0,0
2019,447,CC BY-NC-ND,0,0
2020,442,CC BY,173,0.3914027149321267
2020,442,CC BY-SA,0,0
2020,442,CC BY-NC,0,0
2020,442,CC BY-NC-SA,0,0
2020,442,CC BY-ND,0,0
2020,442,CC BY-NC-ND,0,0
2021,405,CC BY,182,0.44938271604938274
2021,405,CC BY-SA,0,0
2021,405,CC BY-NC,0,0
2021,405,CC BY-NC-SA,0,0
2021,405,CC BY-ND,0,0
2021,405,CC BY-NC-ND,0,0
2022,438,CC BY,313,0.7146118721461188
2022,438,CC BY-SA,0,0
2022,438,CC BY-NC,0,0
2022,438,CC BY-NC-SA,0,0
2022,438,CC BY-ND,0,0
2022,438,CC BY-NC-ND,0,0
2023,173,CC BY,171,0.9884393063583815
2023,173,CC BY-SA,0,0
2023,173,CC BY-NC,0,0
2023,173,CC BY-NC-SA,0,0
2023,173,CC BY-ND,0,0
2023,173,CC BY-NC-ND,0,0
