cr_year,issn_l,collection,articles,oa_articles
2017,0003-4088,de,0,0
2017,0003-4088,global,40,0
2017,0004-6361,de,271,0
2017,0004-6361,global,1780,1
2017,0022-1058,de,0,0
2017,0022-1058,global,0,0
2017,0032-6895,de,4,0
2017,0032-6895,global,43,3
2017,0033-8451,de,1,0
2017,0033-8451,global,38,0
2017,0295-5075,de,74,2
2017,0295-5075,global,1238,14
2017,0399-0559,de,1,0
2017,0399-0559,global,69,0
2017,0764-583X,de,11,0
2017,0764-583X,global,74,0
2017,0767-0974,de,1,0
2017,0767-0974,global,239,0
2017,0973-5348,de,0,0
2017,0973-5348,global,67,0
2017,0988-3754,de,0,0
2017,0988-3754,global,16,0
2017,1007-1202,de,0,0
2017,1007-1202,global,78,0
2017,1262-3318,de,0,0
2017,1262-3318,global,24,0
2017,1262-3377,de,5,0
2017,1262-3377,global,58,0
2017,1286-0042,de,3,0
2017,1286-0042,global,111,0
2017,1292-8941,de,16,4
2017,1292-8941,global,232,28
2017,1434-6028,de,42,8
2017,1434-6028,global,520,12
2017,1434-6060,de,28,10
2017,1434-6060,global,684,68
2017,1629-4475,de,0,0
2017,1629-4475,global,40,0
2017,1951-6355,de,88,6
2017,1951-6355,global,536,8
2017,2102-6467,de,14,10
2017,2102-6467,global,38,20
2017,2118-5735,de,0,0
2017,2118-5735,global,67,0
2017,2271-3654,de,1,0
2017,2271-3654,global,100,0
2018,0003-4088,de,0,0
2018,0003-4088,global,38,4
2018,0004-6361,de,260,13
2018,0004-6361,global,1912,189
2018,0022-1058,de,0,0
2018,0022-1058,global,0,0
2018,0032-6895,de,1,0
2018,0032-6895,global,43,7
2018,0033-8451,de,0,0
2018,0033-8451,global,42,1
2018,0295-5075,de,56,2
2018,0295-5075,global,960,16
2018,0399-0559,de,1,0
2018,0399-0559,global,81,2
2018,0764-583X,de,11,0
2018,0764-583X,global,87,4
2018,0767-0974,de,0,0
2018,0767-0974,global,289,65
2018,0973-5348,de,2,0
2018,0973-5348,global,60,0
2018,0988-3754,de,8,0
2018,0988-3754,global,16,0
2018,1007-1202,de,0,0
2018,1007-1202,global,74,0
2018,1262-3318,de,1,0
2018,1262-3318,global,10,0
2018,1262-3377,de,8,0
2018,1262-3377,global,73,0
2018,1286-0042,de,1,0
2018,1286-0042,global,91,10
2018,1292-8941,de,26,8
2018,1292-8941,global,300,62
2018,1434-6028,de,70,22
2018,1434-6028,global,642,94
2018,1434-6060,de,54,4
2018,1434-6060,global,456,36
2018,1629-4475,de,0,0
2018,1629-4475,global,40,22
2018,1951-6355,de,16,0
2018,1951-6355,global,222,22
2018,2102-6467,de,0,0
2018,2102-6467,global,30,0
2018,2118-5735,de,1,0
2018,2118-5735,global,56,0
2018,2271-3654,de,3,0
2018,2271-3654,global,84,1
2019,0003-4088,de,0,0
2019,0003-4088,global,25,6
2019,0004-6361,de,305,112
2019,0004-6361,global,2043,464
2019,0022-1058,de,0,0
2019,0022-1058,global,0,0
2019,0032-6895,de,4,1
2019,0032-6895,global,49,9
2019,0033-8451,de,0,0
2019,0033-8451,global,43,6
2019,0295-5075,de,28,2
2019,0295-5075,global,892,20
2019,0399-0559,de,0,0
2019,0399-0559,global,112,4
2019,0764-583X,de,9,0
2019,0764-583X,global,76,14
2019,0767-0974,de,0,0
2019,0767-0974,global,265,179
2019,0973-5348,de,2,0
2019,0973-5348,global,47,4
2019,0988-3754,de,0,0
2019,0988-3754,global,8,0
2019,1007-1202,de,0,0
2019,1007-1202,global,73,0
2019,1262-3318,de,2,0
2019,1262-3318,global,38,10
2019,1262-3377,de,13,1
2019,1262-3377,global,85,10
2019,1286-0042,de,1,0
2019,1286-0042,global,75,12
2019,1292-8941,de,38,6
2019,1292-8941,global,318,32
2019,1434-6028,de,52,4
2019,1434-6028,global,562,32
2019,1434-6060,de,28,4
2019,1434-6060,global,536,44
2019,1629-4475,de,0,0
2019,1629-4475,global,37,24
2019,1951-6355,de,76,4
2019,1951-6355,global,436,40
2019,2102-6467,de,4,0
2019,2102-6467,global,28,4
2019,2118-5735,de,0,0
2019,2118-5735,global,32,0
2019,2271-3654,de,0,0
2019,2271-3654,global,136,10
2020,0003-4088,de,0,0
2020,0003-4088,global,29,0
2020,0004-6361,de,295,135
2020,0004-6361,global,2166,524
2020,0022-1058,de,0,0
2020,0022-1058,global,0,0
2020,0032-6895,de,0,0
2020,0032-6895,global,37,8
2020,0033-8451,de,0,0
2020,0033-8451,global,49,16
2020,0295-5075,de,20,0
2020,0295-5075,global,1050,30
2020,0399-0559,de,0,0
2020,0399-0559,global,99,1
2020,0764-583X,de,13,0
2020,0764-583X,global,80,13
2020,0767-0974,de,1,1
2020,0767-0974,global,269,183
2020,0973-5348,de,4,4
2020,0973-5348,global,79,58
2020,0988-3754,de,0,0
2020,0988-3754,global,7,3
2020,1007-1202,de,0,0
2020,1007-1202,global,0,0
2020,1262-3318,de,0,0
2020,1262-3318,global,42,24
2020,1262-3377,de,13,1
2020,1262-3377,global,128,20
2020,1286-0042,de,4,1
2020,1286-0042,global,112,10
2020,1292-8941,de,18,18
2020,1292-8941,global,154,42
2020,1434-6028,de,38,26
2020,1434-6028,global,454,46
2020,1434-6060,de,30,22
2020,1434-6060,global,484,74
2020,1629-4475,de,1,0
2020,1629-4475,global,44,33
2020,1951-6355,de,58,46
2020,1951-6355,global,500,112
2020,2102-6467,de,6,6
2020,2102-6467,global,20,8
2020,2118-5735,de,1,0
2020,2118-5735,global,21,0
2020,2271-3654,de,0,0
2020,2271-3654,global,94,1
2021,0003-4088,de,0,0
2021,0003-4088,global,26,4
2021,0004-6361,de,250,119
2021,0004-6361,global,2147,538
2021,0022-1058,de,0,0
2021,0022-1058,global,0,0
2021,0032-6895,de,1,1
2021,0032-6895,global,27,8
2021,0033-8451,de,0,0
2021,0033-8451,global,32,4
2021,0295-5075,de,34,4
2021,0295-5075,global,882,68
2021,0399-0559,de,1,1
2021,0399-0559,global,190,113
2021,0764-583X,de,10,5
2021,0764-583X,global,102,64
2021,0767-0974,de,1,1
2021,0767-0974,global,259,162
2021,0973-5348,de,3,3
2021,0973-5348,global,58,58
2021,0988-3754,de,4,4
2021,0988-3754,global,13,10
2021,1007-1202,de,0,0
2021,1007-1202,global,11,11
2021,1262-3318,de,0,0
2021,1262-3318,global,17,11
2021,1262-3377,de,12,5
2021,1262-3377,global,110,65
2021,1286-0042,de,5,0
2021,1286-0042,global,80,8
2021,1292-8941,de,72,64
2021,1292-8941,global,302,106
2021,1434-6028,de,36,30
2021,1434-6028,global,500,84
2021,1434-6060,de,36,30
2021,1434-6060,global,632,130
2021,1629-4475,de,0,0
2021,1629-4475,global,52,33
2021,1951-6355,de,68,60
2021,1951-6355,global,816,144
2021,2102-6467,de,12,6
2021,2102-6467,global,58,20
2021,2118-5735,de,0,0
2021,2118-5735,global,26,0
2021,2271-3654,de,0,0
2021,2271-3654,global,102,2
2022,0003-4088,de,0,0
2022,0003-4088,global,0,0
2022,0004-6361,de,32,20
2022,0004-6361,global,2285,1396
2022,0022-1058,de,0,0
2022,0022-1058,global,0,0
2022,0032-6895,de,0,0
2022,0032-6895,global,36,16
2022,0033-8451,de,1,1
2022,0033-8451,global,39,4
2022,0295-5075,de,20,12
2022,0295-5075,global,766,92
2022,0399-0559,de,0,0
2022,0399-0559,global,0,0
2022,0764-583X,de,0,0
2022,0764-583X,global,0,0
2022,0767-0974,de,1,1
2022,0767-0974,global,218,150
2022,0973-5348,de,0,0
2022,0973-5348,global,45,45
2022,0988-3754,de,0,0
2022,0988-3754,global,0,0
2022,1007-1202,de,0,0
2022,1007-1202,global,66,66
2022,1262-3318,de,0,0
2022,1262-3318,global,18,17
2022,1262-3377,de,1,1
2022,1262-3377,global,83,82
2022,1286-0042,de,1,0
2022,1286-0042,global,92,18
2022,1292-8941,de,24,24
2022,1292-8941,global,204,72
2022,1434-6028,de,28,22
2022,1434-6028,global,410,52
2022,1434-6060,de,26,24
2022,1434-6060,global,506,114
2022,1629-4475,de,0,0
2022,1629-4475,global,47,37
2022,1951-6355,de,28,20
2022,1951-6355,global,694,66
2022,2102-6467,de,2,0
2022,2102-6467,global,32,18
2022,2118-5735,de,0,0
2022,2118-5735,global,32,0
2022,2271-3654,de,0,0
2022,2271-3654,global,107,6
2023,0003-4088,de,0,0
2023,0003-4088,global,0,0
2023,0004-6361,de,3,3
2023,0004-6361,global,1098,811
2023,0022-1058,de,0,0
2023,0022-1058,global,10,5
2023,0032-6895,de,0,0
2023,0032-6895,global,0,0
2023,0033-8451,de,0,0
2023,0033-8451,global,23,1
2023,0295-5075,de,10,6
2023,0295-5075,global,304,36
2023,0399-0559,de,0,0
