cr_year,cat,article_total,name,oa_articles,oa_share
2017,Germany,2630,Crossref,91,0.03460076045627376
2017,Germany,2630,Unpaywall,191,0.0726235741444867
2018,Germany,2634,Crossref,189,0.07175398633257403
2018,Germany,2634,Unpaywall,216,0.08200455580865604
2019,Germany,1842,Crossref,301,0.16340933767643864
2019,Germany,1842,Unpaywall,318,0.17263843648208468
2020,Germany,1945,Crossref,442,0.22724935732647814
2020,Germany,1945,Unpaywall,521,0.267866323907455
2021,Germany,1953,Crossref,552,0.282642089093702
2021,Germany,1953,Unpaywall,568,0.29083461341525857
2022,Germany,1706,Crossref,545,0.3194607268464244
2022,Germany,1706,Unpaywall,491,0.2878077373974209
2023,Germany,1602,Crossref,582,0.36329588014981273
2023,Germany,1602,Unpaywall,610,0.3807740324594257
2024,Germany,1579,Crossref,583,0.36922102596580114
2024,Germany,1579,Unpaywall,596,0.37745408486383786
2025,Germany,949,Crossref,270,0.2845100105374078
2025,Germany,949,Unpaywall,159,0.16754478398314016
