cr_year,esac_publisher,cat,perc_cr,perc_upw,perc_diff
2017,Elsevier,Germany,0.054,0.061,-0.007
2017,Elsevier,Global,0.03,0.037,-0.008
2017,Springer Nature,Germany,0.064,0.059,0.005
2017,Springer Nature,Global,0.066,0.062,0.004
2017,Wiley,Germany,0.048,0.05,-0.001
2017,Wiley,Global,0.043,0.045,-0.002
2017,Taylor and Francis,Germany,0.062,0.064,-0.002
2017,Taylor and Francis,Global,0.032,0.034,-0.003
2017,Wolters Kluwer Health,Germany,0.021,0.026,-0.005
2017,Wolters Kluwer Health,Global,0.011,0.007,0.004
2017,Sage,Germany,0.003,0.028,-0.025
2017,Sage,Global,0.004,0.027,-0.023
2017,IEEE,Germany,0.011,0.029,-0.018
2017,IEEE,Global,0.009,0.077,-0.068
2017,American Chemical Society,Germany,0.001,0.09,-0.089
2017,American Chemical Society,Global,0.001,0.091,-0.091
2017,Oxford University Press,Germany,0.038,0.076,-0.038
2017,Oxford University Press,Global,0.027,0.065,-0.038
2017,Royal Society of Chemistry,Germany,0.085,0.182,-0.097
2017,Royal Society of Chemistry,Global,0.024,0.083,-0.059
2017,IOP Publishing,Germany,0.075,0.12,-0.045
2017,IOP Publishing,Global,0.039,0.067,-0.028
2017,Cambridge University Press,Germany,0.031,0.029,0.003
2017,Cambridge University Press,Global,0.02,0.021,-0.001
2017,The Electrochemical Society,Germany,0.072,0.117,-0.045
2017,The Electrochemical Society,Global,0.039,0.071,-0.032
2017,American Physical Society,Germany,0.025,0.169,-0.144
2017,American Physical Society,Global,0.023,0.302,-0.279
2017,Walter de Gruyter,Germany,0.034,0.019,0.015
2017,Walter de Gruyter,Global,0.023,0.02,0.003
2017,Emerald,Germany,0,0.027,-0.027
2017,Emerald,Global,0.001,0.017,-0.015
2017,AIP Publishing,Germany,0.001,0.078,-0.077
2017,AIP Publishing,Global,0,0.104,-0.103
2017,BMJ Publishing,Germany,0,0.138,-0.138
2017,BMJ Publishing,Global,0.002,0.086,-0.085
2017,Thieme,Germany,0.019,0.026,-0.007
2017,Thieme,Global,0.006,0.008,-0.002
2017,World Scientific,Germany,0,0.053,-0.053
2017,World Scientific,Global,0,0.017,-0.017
2017,Bentham Science Publishers,Germany,0.01,0,0.01
2017,Bentham Science Publishers,Global,0.002,0,0.002
2017,American Psychological Association,Germany,0.012,0.043,-0.031
2017,American Psychological Association,Global,0.01,0.132,-0.122
2017,Brill,Germany,0.016,0.023,-0.006
2017,Brill,Global,0.024,0.026,-0.002
2017,"Mary Ann Liebert, Inc.",Germany,0,0.006,-0.006
2017,"Mary Ann Liebert, Inc.",Global,0,0.009,-0.009
2017,Association for Computing Machinery,Germany,0.004,0.009,-0.004
2017,Association for Computing Machinery,Global,0.007,0.029,-0.022
2017,IOS Press,Germany,0.077,0,0.077
2017,IOS Press,Global,0.058,0.004,0.054
2017,Karger,Germany,0.031,0.033,-0.002
2017,Karger,Global,0.041,0.043,-0.002
2017,EDP Sciences,Germany,0.039,0.061,-0.022
2017,EDP Sciences,Global,0.018,0.036,-0.019
2017,Trans Tech Publications,Germany,0.14,0.14,0
2017,Trans Tech Publications,Global,0.009,0.009,0
2017,National Academy of Sciences,Germany,0.067,0.088,-0.021
2017,National Academy of Sciences,Global,0.053,0.074,-0.021
2017,Optica,Germany,0.008,0.038,-0.03
2017,Optica,Global,0.01,0.125,-0.115
2017,American Physiological Society,Germany,0,0.053,-0.053
2017,American Physiological Society,Global,0,0.03,-0.03
2017,The Royal Society,Germany,0,0.197,-0.197
2017,The Royal Society,Global,0,0.216,-0.216
2017,Canadian Science Publishing,Germany,0,0.077,-0.077
2017,Canadian Science Publishing,Global,0,0.02,-0.02
2017,Future Science Group,Germany,0.078,0.078,0
2017,Future Science Group,Global,0.093,0.095,-0.002
2017,American Meteorological Society,Germany,0.012,0.593,-0.58
2017,American Meteorological Society,Global,0.021,0.717,-0.696
2017,CSIRO,Germany,0,0.051,-0.051
2017,CSIRO,Global,0,0.032,-0.032
2017,John Benjamins Publishing,Germany,0,0,0
2017,John Benjamins Publishing,Global,0.018,0.01,0.008
2017,Company of Biologists,Germany,0.046,0.697,-0.651
2017,Company of Biologists,Global,0.061,0.599,-0.538
2017,SPIE,Germany,0,0.286,-0.286
2017,SPIE,Global,0,0.125,-0.125
2017,Microbiology Society,Germany,0.05,0.075,-0.025
2017,Microbiology Society,Global,0.065,0.083,-0.018
2017,Akadémiai Kiadó,Germany,0,0.059,-0.059
2017,Akadémiai Kiadó,Global,0.034,0.118,-0.084
2017,Hogrefe,Germany,0.024,0.024,0
2017,Hogrefe,Global,0.013,0.013,0
2017,Society for Neuroscience,Germany,0,0.662,-0.662
2017,Society for Neuroscience,Global,0,0.702,-0.702
2017,Radiological Society of North America,Germany,0,0.03,-0.03
2017,Radiological Society of North America,Global,0,0.014,-0.014
2017,Portland Press,Germany,0.125,0.125,0
2017,Portland Press,Global,0.21,0.211,-0.001
2017,Bioscientifica,Germany,0.182,0.182,0
2017,Bioscientifica,Global,0.086,0.101,-0.016
2017,The Geological Society of London,Germany,0.083,0.083,0
2017,The Geological Society of London,Global,0.121,0.121,0
2017,Rockefeller University Press,Germany,0.094,0.981,-0.887
2017,Rockefeller University Press,Global,0.103,0.965,-0.862
2017,European Respiratory Society,Germany,0,0.068,-0.068
2017,European Respiratory Society,Global,0,0.067,-0.067
2017,Inter-Research Science Publisher,Germany,0,0,0
2017,Inter-Research Science Publisher,Global,0,0,0
2017,Bristol University Press,Germany,0,0,0
2017,Bristol University Press,Global,0.053,0.053,0
2017,Royal College of General Practitioners,Germany,0,0.5,-0.5
2017,Royal College of General Practitioners,Global,0,0.084,-0.084
2017,Cold Spring Harbor Laboratory Press,Germany,0,0.361,-0.361
2017,Cold Spring Harbor Laboratory Press,Global,0,0.504,-0.504
2017,Edward Elgar Publishing,Germany,0,0,0
2017,Edward Elgar Publishing,Global,0,0.013,-0.013
2017,Royal Irish Academy,Global,0,0,0
2017,White Horse Press,Germany,0,0,0
2017,White Horse Press,Global,0,0,0
2017,IWA Publishing,Germany,0,0,0
2017,IWA Publishing,Global,0,0.014,-0.014
2018,Elsevier,Germany,0.065,0.072,-0.007
2018,Elsevier,Global,0.033,0.042,-0.009
2018,Springer Nature,Germany,0.072,0.072,0
2018,Springer Nature,Global,0.07,0.072,-0.002
2018,Wiley,Germany,0.061,0.063,-0.002
2018,Wiley,Global,0.057,0.059,-0.002
2018,Taylor and Francis,Germany,0.062,0.065,-0.003
2018,Taylor and Francis,Global,0.024,0.027,-0.002
2018,Wolters Kluwer Health,Germany,0.021,0.042,-0.022
2018,Wolters Kluwer Health,Global,0.013,0.019,-0.005
2018,Sage,Germany,0.01,0.036,-0.026
2018,Sage,Global,0.006,0.03,-0.024
2018,IEEE,Germany,0.015,0.035,-0.02
2018,IEEE,Global,0.011,0.076,-0.066
2018,American Chemical Society,Germany,0.003,0.062,-0.06
2018,American Chemical Society,Global,0.001,0.068,-0.067
2018,Oxford University Press,Germany,0.072,0.082,-0.01
2018,Oxford University Press,Global,0.052,0.076,-0.024
2018,Royal Society of Chemistry,Germany,0.192,0.192,0
2018,Royal Society of Chemistry,Global,0.07,0.071,-0
2018,IOP Publishing,Germany,0.179,0.193,-0.014
2018,IOP Publishing,Global,0.067,0.07,-0.003
2018,Cambridge University Press,Germany,0.052,0.053,-0.001
2018,Cambridge University Press,Global,0.028,0.028,-0
2018,The Electrochemical Society,Germany,0.183,0.196,-0.013
2018,The Electrochemical Society,Global,0.071,0.074,-0.003
2018,American Physical Society,Germany,0.127,0.232,-0.105
2018,American Physical Society,Global,0.141,0.38,-0.239
2018,Walter de Gruyter,Germany,0.025,0.016,0.008
2018,Walter de Gruyter,Global,0.026,0.025,0.001
2018,Emerald,Germany,0.003,0.028,-0.025
2018,Emerald,Global,0.004,0.018,-0.014
2018,AIP Publishing,Germany,0,0.084,-0.084
2018,AIP Publishing,Global,0,0.107,-0.107
2018,BMJ Publishing,Germany,0.005,0.124,-0.119
2018,BMJ Publishing,Global,0.003,0.096,-0.092
