cr_year,esac_publisher,agreement,lead,collection,articles,oa_articles,oa_prop,all_journals,oa_journals,journal_prop
2017,ACM (hebis),ACM,hebis,Global,2761,0,0,51,0,0
2017,AIP (TIB),AIP,TIB,Global,16888,6,3.5528185693983896e-4,23,4,0.17391304347826086
2017,BMJ (BSB),BMJ,BSB,Global,6241,8,0.0012818458580355712,28,1,0.03571428571428571
2017,CUP (BSB),CUP,BSB,Global,24993,635,0.025407113991917737,329,141,0.42857142857142855
2017,De Gruyter (SUB Göttingen),De Gruyter,SUB Göttingen,Global,2422,22,0.009083402146985962,103,10,0.0970873786407767
2017,De Gruyter (ZBW),De Gruyter,ZBW,Global,1568,25,0.01594387755102041,62,10,0.16129032258064516
2017,ECS (TIB),ECS,TIB,Global,1817,0,0,2,0,0
2017,Elsevier (DEAL),Elsevier,DEAL,Global,471487,14530,0.030817392632246487,1794,1361,0.7586399108138239
2017,Hogrefe (SUB Göttingen),Hogrefe,SUB Göttingen,Global,930,12,0.012903225806451613,27,7,0.25925925925925924
2017,IOP (TIB),IOP,TIB,Global,16307,959,0.05880910038633715,49,48,0.9795918367346939
2017,Karger (BSB),Karger,BSB,Global,4909,179,0.03646363821552251,66,45,0.6818181818181818
2017,Nature (MPDL),Nature,MPDL,Global,9621,62,0.0064442365658455465,26,11,0.4230769230769231
2017,Portland Press (TIB),Portland Press,TIB,Global,734,154,0.2098092643051771,5,5,1
2017,RSC (TIB),RSC,TIB,Global,28200,652,0.023120567375886525,35,35,1
2017,SPIE (TIB),SPIE,TIB,Global,1651,0,0,8,0,0
2017,Sage (BSB),Sage,BSB,Global,58824,131,0.002226982184142527,949,67,0.07060063224446786
2017,Springer Hybrid (DEAL),Springer Hybrid,DEAL,Global,202997,17841,0.08788799834480313,1972,1591,0.8067951318458418
2017,TaylorFrancis (ZBW),TaylorFrancis,ZBW,Global,12638,572,0.045260326000949515,242,125,0.5165289256198347
2017,Thieme (ZB MED),Thieme,ZB MED,Global,676,16,0.023668639053254437,5,3,0.6
2017,Wiley Hybrid (DEAL),Wiley Hybrid,DEAL,Global,188424,8336,0.0442406487496285,1362,923,0.6776798825256976
2018,ACM (hebis),ACM,hebis,Global,2994,0,0,54,0,0
2018,AIP (TIB),AIP,TIB,Global,15751,1,6.348803250587264e-5,23,1,0.043478260869565216
2018,BMJ (BSB),BMJ,BSB,Global,5802,21,0.0036194415718717684,28,7,0.25
