cr_year,esac_publisher,agreement,lead,collection,articles,oa_articles,oa_prop,all_journals,oa_journals,journal_prop
2017,ACM (hebis),ACM,hebis,Global,2761,0,0,51,0,0
2017,AIP (TIB),AIP,TIB,Global,16888,6,3.5528185693983896e-4,23,4,0.17391304347826086
2017,BMJ (BSB),BMJ,BSB,Global,6241,8,0.0012818458580355712,28,1,0.03571428571428571
2017,CUP (BSB),CUP,BSB,Global,24973,605,0.02422616425739799,329,141,0.42857142857142855
2017,De Gruyter (SUB Göttingen),De Gruyter,SUB Göttingen,Global,2422,22,0.009083402146985962,103,10,0.0970873786407767
2017,De Gruyter (ZBW),De Gruyter,ZBW,Global,1568,25,0.01594387755102041,62,10,0.16129032258064516
2017,ECS (TIB),ECS,TIB,Global,1817,0,0,2,0,0
2017,Elsevier (DEAL),Elsevier,DEAL,Global,471511,14526,0.03080734065589138,1794,1361,0.7586399108138239
2017,Hogrefe (SUB Göttingen),Hogrefe,SUB Göttingen,Global,930,12,0.012903225806451613,27,7,0.25925925925925924
2017,IOP (TIB),IOP,TIB,Global,16307,959,0.05880910038633715,49,48,0.9795918367346939
2017,Karger (BSB),Karger,BSB,Global,4905,179,0.036493374108053006,66,45,0.6818181818181818
2017,Nature (MPDL),Nature,MPDL,Global,9595,62,0.006461698801459094,26,11,0.4230769230769231
2017,Portland Press (TIB),Portland Press,TIB,Global,734,154,0.2098092643051771,5,5,1
2017,RSC (TIB),RSC,TIB,Global,28200,651,0.023085106382978723,35,35,1
2017,SPIE (TIB),SPIE,TIB,Global,1651,0,0,8,0,0
2017,Sage (BSB),Sage,BSB,Global,58800,123,0.0020918367346938775,949,64,0.067439409905163325
2017,Springer Hybrid (DEAL),Springer Hybrid,DEAL,Global,202991,17836,0.0878659645008892,1972,1591,0.8067951318458418
2017,TaylorFrancis (ZBW),TaylorFrancis,ZBW,Global,12638,572,0.045260326000949515,242,125,0.5165289256198347
2017,Thieme (ZB MED),Thieme,ZB MED,Global,676,16,0.023668639053254437,5,3,0.6
2017,Wiley Hybrid (DEAL),Wiley Hybrid,DEAL,Global,188375,8327,0.044204379562043795,1362,923,0.6776798825256976
2018,ACM (hebis),ACM,hebis,Global,2992,0,0,54,0,0
2018,AIP (TIB),AIP,TIB,Global,15727,1,6.358491765753163e-5,23,1,0.043478260869565216
2018,BMJ (BSB),BMJ,BSB,Global,5797,21,0.00362256339485941,28,7,0.25
