cr_year,cat,article_total,name,oa_articles,oa_share
2017,Germany,1435,Crossref,123,0.08571428571428572
2017,Germany,1435,Unpaywall,264,0.18397212543554006
2018,Germany,1339,Crossref,260,0.1941747572815534
2018,Germany,1339,Unpaywall,260,0.1941747572815534
2019,Germany,1331,Crossref,394,0.29601803155522166
2019,Germany,1331,Unpaywall,394,0.29601803155522166
2020,Germany,1267,Crossref,449,0.35438042620363064
2020,Germany,1267,Unpaywall,448,0.35359116022099446
2021,Germany,1197,Crossref,470,0.39264828738512947
2021,Germany,1197,Unpaywall,469,0.391812865497076
2022,Germany,1066,Crossref,525,0.4924953095684803
2022,Germany,1066,Unpaywall,522,0.4896810506566604
2023,Germany,942,Crossref,489,0.5191082802547771
2023,Germany,942,Unpaywall,499,0.529723991507431
2024,Germany,993,Crossref,763,0.7683786505538771
2024,Germany,993,Unpaywall,766,0.771399798590131
2025,Germany,386,Crossref,320,0.8290155440414507
2025,Germany,386,Unpaywall,316,0.8186528497409327
