cr_year,cc,cc_total,jn_all,prop
2017,CC BY,464,28203,0.016452150480445342
2017,CC BY-SA,0,NA,0
2017,CC BY-NC,190,28203,0.006736871963975464
2017,CC BY-NC-SA,0,NA,0
2017,CC BY-ND,0,NA,0
2017,CC BY-NC-ND,0,NA,0
2018,CC BY,1434,29114,0.049254654118293606
2018,CC BY-SA,0,NA,0
2018,CC BY-NC,607,29114,0.020849076045888575
2018,CC BY-NC-SA,0,NA,0
2018,CC BY-ND,0,NA,0
2018,CC BY-NC-ND,0,NA,0
2019,CC BY,1441,30421,0.04736859406331153
2019,CC BY-SA,0,NA,0
2019,CC BY-NC,1063,30421,0.034942967029354725
2019,CC BY-NC-SA,0,NA,0
2019,CC BY-ND,0,NA,0
2019,CC BY-NC-ND,0,NA,0
2020,CC BY,1849,31758,0.05822155047547075
2020,CC BY-SA,0,NA,0
2020,CC BY-NC,1419,31758,0.044681655016058947
2020,CC BY-NC-SA,0,NA,0
2020,CC BY-ND,0,NA,0
2020,CC BY-NC-ND,0,NA,0
2021,CC BY,1995,30767,0.06484220105957682
2021,CC BY-SA,0,NA,0
2021,CC BY-NC,1570,30767,0.0510286995807196
2021,CC BY-NC-SA,0,NA,0
2021,CC BY-ND,0,NA,0
2021,CC BY-NC-ND,0,NA,0
2022,CC BY,2507,30005,0.08355274120979837
2022,CC BY-SA,0,NA,0
2022,CC BY-NC,1423,30005,0.04742542909515081
2022,CC BY-NC-SA,0,NA,0
2022,CC BY-ND,0,NA,0
2022,CC BY-NC-ND,0,NA,0
2023,CC BY,2886,30268,0.09534822254526232
2023,CC BY-SA,0,NA,0
2023,CC BY-NC,2074,30268,0.06852121051936039
2023,CC BY-NC-SA,0,NA,0
2023,CC BY-ND,0,NA,0
2023,CC BY-NC-ND,0,NA,0
2024,CC BY,3904,30837,0.12660116094302298
2024,CC BY-SA,0,NA,0
2024,CC BY-NC,2769,30837,0.08979472711353244
2024,CC BY-NC-SA,0,NA,0
2024,CC BY-ND,0,NA,0
2024,CC BY-NC-ND,0,NA,0
2025,CC BY,4588,32912,0.13940204180845892
2025,CC BY-SA,0,NA,0
2025,CC BY-NC,3513,32912,0.10673918327661643
2025,CC BY-NC-SA,0,NA,0
2025,CC BY-ND,0,NA,0
2025,CC BY-NC-ND,0,NA,0
2026,CC BY,1279,9448,0.13537256562235395
2026,CC BY-SA,0,NA,0
2026,CC BY-NC,982,9448,0.10393734123624047
2026,CC BY-NC-SA,0,NA,0
2026,CC BY-ND,0,NA,0
2026,CC BY-NC-ND,0,NA,0
