cr_year,cat,article_total,name,oa_articles,oa_share
2017,Global,676,Crossref,16,0.023668639053254437
2017,Global,676,Unpaywall,18,0.026627218934911243
2018,Global,601,Crossref,21,0.03494176372712146
2018,Global,601,Unpaywall,24,0.03993344425956739
2019,Global,514,Crossref,33,0.06420233463035019
2019,Global,514,Unpaywall,33,0.06420233463035019
2020,Global,660,Crossref,41,0.06212121212121212
2020,Global,660,Unpaywall,43,0.06515151515151515
2021,Global,524,Crossref,59,0.11259541984732824
2021,Global,524,Unpaywall,59,0.11259541984732824
2022,Global,431,Crossref,77,0.17865429234338748
2022,Global,431,Unpaywall,77,0.17865429234338748
2023,Global,317,Crossref,58,0.1829652996845426
2023,Global,317,Unpaywall,46,0.14511041009463724
