cr_year,issn_l,collection,articles,oa_articles
2017,0001-5342,de,0,0
2017,0001-5342,global,12,1
2017,0001-5903,de,2,0
2017,0001-5903,global,20,1
2017,0001-5970,de,8,0
2017,0001-5970,global,302,16
2017,0001-6268,de,38,1
2017,0001-6268,global,385,42
2017,0001-6322,de,21,5
2017,0001-6322,global,133,43
2017,0001-6810,de,4,0
2017,0001-6810,global,47,2
2017,0001-6969,de,0,0
2017,0001-6969,global,41,0
2017,0001-7701,de,7,0
2017,0001-7701,global,154,6
2017,0001-8244,de,2,0
2017,0001-8244,global,52,13
2017,0001-9054,de,2,0
2017,0001-9054,global,71,11
2017,0002-5232,de,1,0
2017,0002-5232,global,49,0
2017,0002-5240,de,3,0
2017,0002-5240,global,60,2
2017,0003-1232,de,1,0
2017,0003-1232,global,31,3
2017,0003-2417,de,103,2
2017,0003-2417,global,137,5
2017,0003-4347,de,0,0
2017,0003-4347,global,62,1
2017,0003-6072,de,2,1
2017,0003-6072,global,184,21
2017,0003-6862,de,0,0
2017,0003-6862,global,70,3
2017,0003-889X,de,12,0
2017,0003-889X,global,123,11
2017,0003-9519,de,3,0
2017,0003-9519,global,11,1
2017,0003-9527,de,10,0
2017,0003-9527,global,136,12
2017,0004-0002,de,6,0
2017,0004-0002,global,208,19
2017,0004-069X,de,4,0
2017,0004-069X,global,50,22
2017,0004-640X,de,2,0
2017,0004-640X,global,236,3
2017,0005-8912,de,14,1
2017,0005-8912,global,123,25
2017,0006-2928,de,0,0
2017,0006-2928,global,29,1
2017,0006-3088,de,1,0
2017,0006-3088,global,177,0
2017,0006-3835,de,4,0
2017,0006-3835,global,50,9
2017,0006-8101,de,0,0
2017,0006-8101,global,21,0
2017,0006-8314,de,9,0
2017,0006-8314,global,103,18
2017,0007-0610,de,1,0
2017,0007-0610,global,1114,3
2017,0007-0920,de,16,16
2017,0007-0920,global,454,447
2017,0007-196X,de,0,0
2017,0007-196X,global,54,3
2017,0007-4861,de,1,0
2017,0007-4861,global,242,13
2017,0007-666X,de,0,0
2017,0007-666X,global,43,0
2017,0008-0624,de,1,0
2017,0008-0624,global,31,2
2017,0008-4263,de,0,0
2017,0008-4263,global,117,0
2017,0009-398X,de,3,0
2017,0009-398X,global,70,10
2017,0009-4722,de,193,3
2017,0009-4722,global,218,4
2017,0009-5893,de,6,0
2017,0009-5893,global,224,8
2017,0009-5915,de,2,0
2017,0009-5915,global,34,5
2017,0009-725X,de,1,0
2017,0009-725X,global,34,0
2017,0009-8604,de,3,0
2017,0009-8604,global,37,0
2017,0010-0757,de,0,0
2017,0010-0757,global,24,2
2017,0010-3616,de,29,7
2017,0010-3616,global,245,38
2017,0010-3853,de,0,0
2017,0010-3853,global,141,6
2017,0010-485X,de,2,1
2017,0010-485X,global,52,3
2017,0010-7999,de,17,2
2017,0010-7999,global,110,16
2017,0012-0456,de,11,2
2017,0012-0456,global,20,2
2017,0012-0936,de,11,0
2017,0012-0936,global,20,1
2017,0012-186X,de,14,7
2017,0012-186X,global,325,115
2017,0012-4486,de,6,0
2017,0012-4486,global,48,11
2017,0012-6667,de,10,0
2017,0012-6667,global,178,18
2017,0013-0001,de,0,0
2017,0013-0001,global,33,3
2017,0013-063X,de,1,0
2017,0013-063X,global,26,10
2017,0013-1954,de,1,0
2017,0013-1954,global,53,3
2017,0014-0309,de,3,0
2017,0014-0309,global,51,2
2017,0014-2336,de,8,1
2017,0014-2336,global,284,28
2017,0014-3065,de,0,0
2017,0014-3065,global,30,5
2017,0014-4819,de,25,3
2017,0014-4819,global,298,46
2017,0014-4851,de,4,0
2017,0014-4851,global,117,16
2017,0015-2684,de,1,0
2017,0015-2684,global,52,7
2017,0015-5632,de,3,0
2017,0015-5632,global,86,6
2017,0015-7899,de,36,0
2017,0015-7899,global,49,0
2017,0015-9018,de,4,1
2017,0015-9018,global,72,12
2017,0016-6707,de,0,0
2017,0016-6707,global,62,1
2017,0016-7622,de,2,0
2017,0016-7622,global,247,0
2017,0017-5994,de,100,1
2017,0017-5994,global,168,2
2017,0017-6192,de,93,1
2017,0017-6192,global,138,3
2017,0017-8470,de,131,4
2017,0017-8470,global,179,7
2017,0018-067X,de,7,2
2017,0018-067X,global,101,18
2017,0018-1560,de,11,0
2017,0018-1560,global,117,23
2017,0018-3768,de,22,1
2017,0018-3768,global,135,13
2017,0018-8158,de,16,0
2017,0018-8158,global,397,33
2017,0018-9855,de,3,1
2017,0018-9855,global,50,1
2017,0019-4670,de,0,0
2017,0019-4670,global,16,2
2017,0019-4964,de,0,0
2017,0019-4964,global,29,4
2017,0019-5308,de,1,0
2017,0019-5308,global,41,0
2017,0019-5413,de,0,0
2017,0019-5413,global,129,0
2017,0019-5456,de,0,0
2017,0019-5456,global,280,0
2017,0019-5480,de,1,0
2017,0019-5480,global,210,0
2017,0019-6061,de,0,0
2017,0019-6061,global,236,10
2017,0020-1812,de,6,0
2017,0020-1812,global,64,4
2017,0020-4277,de,3,0
2017,0020-4277,global,41,2
2017,0020-7047,de,1,0
2017,0020-7047,global,45,4
2017,0020-7128,de,9,0
2017,0020-7128,global,183,13
2017,0020-7187,de,0,0
2017,0020-7187,global,29,6
2017,0020-7276,de,2,0
2017,0020-7276,global,44,4
2017,0020-8566,de,3,0
2017,0020-8566,global,88,3
2017,0020-9554,de,149,1
2017,0020-9554,global,192,2
2017,0020-9910,de,6,1
