cr_year,cat,article_total,name,oa_articles,oa_share
2017,Germany,553,Crossref,40,0.07233273056057866
2017,Germany,553,Unpaywall,40,0.07233273056057866
2018,Germany,517,Crossref,56,0.10831721470019343
2018,Germany,517,Unpaywall,56,0.10831721470019343
2019,Germany,568,Crossref,92,0.1619718309859155
2019,Germany,568,Unpaywall,93,0.1637323943661972
2020,Germany,587,Crossref,107,0.18228279386712096
2020,Germany,587,Unpaywall,106,0.18057921635434412
2021,Germany,589,Crossref,175,0.29711375212224106
2021,Germany,589,Unpaywall,173,0.2937181663837012
2022,Germany,525,Crossref,162,0.30857142857142855
2022,Germany,525,Unpaywall,151,0.2876190476190476
2023,Germany,464,Crossref,157,0.33836206896551724
2023,Germany,464,Unpaywall,156,0.33620689655172414
2024,Germany,554,Crossref,326,0.5884476534296029
2024,Germany,554,Unpaywall,319,0.575812274368231
2025,Germany,355,Crossref,245,0.6901408450704225
2025,Germany,355,Unpaywall,236,0.6647887323943662
