cr_year,cat,article_total,name,oa_articles,oa_share
2017,Global,2424,Crossref,21,0.008663366336633664
2017,Global,2424,Unpaywall,7,0.0028877887788778876
2018,Global,2302,Crossref,50,0.021720243266724587
2018,Global,2302,Unpaywall,33,0.014335360556038228
2019,Global,2317,Crossref,106,0.04574881312041433
2019,Global,2317,Unpaywall,39,0.01683211048769961
2020,Global,2420,Crossref,270,0.1115702479338843
2020,Global,2420,Unpaywall,211,0.0871900826446281
2021,Global,2390,Crossref,304,0.12719665271966527
2021,Global,2390,Unpaywall,261,0.10920502092050209
2022,Global,2395,Crossref,488,0.20375782881002089
2022,Global,2395,Unpaywall,400,0.16701461377870563
2023,Global,1351,Crossref,282,0.20873427091043673
2023,Global,1351,Unpaywall,114,0.0843819393042191
