esac_publisher,cat,name,2017,2018,2019,2020,2021,2022,2023,2024
Bentham Science Publishers,Germany,TDM Support,0,0.5,0,0.5333333333333333,1,1,1,1
Bentham Science Publishers,Germany,ORCID,0,0,0,0.2,0.46153846153846156,0.3333333333333333,0.5,0.75
Bentham Science Publishers,Germany,Funder info,0,0,0.09090909090909091,0.13333333333333333,0.3076923076923077,0.3333333333333333,0,0.25
Bentham Science Publishers,Germany,Open Abstracts,0,0.5,0.36363636363636365,0.8666666666666667,0.7692307692307693,1,1,1
Bentham Science Publishers,Germany,Open Citations,0,0.5,0.36363636363636365,0.6,0.5384615384615384,0.6666666666666666,0.5,0.5
Bentham Science Publishers,Global,TDM Support,0.5,0.6596858638743456,0.08434712084347121,0.3789785344189489,1,1,1,1
Bentham Science Publishers,Global,ORCID,0,0,0.0786699107866991,0.20725388601036268,0.31417624521072796,0.4881889763779528,0.5127701375245579,0.45194274028629855
Bentham Science Publishers,Global,Funder info,0,0.031413612565445025,0.14193025141930252,0.11176905995558846,0.1475095785440613,0.4015748031496063,0.381139489194499,0.3783231083844581
Bentham Science Publishers,Global,Open Abstracts,0.14285714285714285,0.23036649214659685,0.5068937550689375,0.6039970392301999,0.6187739463601533,1,1,1
Bentham Science Publishers,Global,Open Citations,0,0.16753926701570682,0.6042173560421735,0.5692079940784603,0.4722222222222222,0.905511811023622,0.7092337917485265,0.34151329243353784
