esac_publisher,cat,name,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Portland Press (TIB),Germany,TDM Support,0,0,0,0,0,0,0,0,0,0
Portland Press (TIB),Germany,ORCID,0,0.5,1,0.9444444444444444,0.967741935483871,0.8947368421052632,1,1,1,1
Portland Press (TIB),Germany,Funder info,0,0,0,0,0,0,0.2222222222222222,0.4117647058823529,0.23529411764705882,0.25
Portland Press (TIB),Germany,Open Abstracts,1,1,1,1,1,1,1,1,1,1
Portland Press (TIB),Germany,Open Citations,1,1,1,1,1,1,1,1,1,1
Portland Press (TIB),Global,TDM Support,0,0,0,0,0,0,0,0,0,0
Portland Press (TIB),Global,ORCID,0,0.41830065359477125,0.9681528662420382,0.9745098039215686,0.9802371541501976,0.9467787114845938,0.9774011299435028,0.984984984984985,0.9847715736040609,0.9523809523809523
Portland Press (TIB),Global,Funder info,0,0,0,0,0,0,0.192090395480226,0.5285285285285285,0.2131979695431472,0.5396825396825397
Portland Press (TIB),Global,Open Abstracts,0.974025974025974,0.9869281045751634,0.9936305732484076,0.9980392156862745,0.9980237154150198,0.9971988795518207,0.9971751412429378,1,0.9923857868020305,0.9682539682539683
Portland Press (TIB),Global,Open Citations,0.974025974025974,0.9934640522875817,0.9936305732484076,0.996078431372549,0.9940711462450593,1,0.9943502824858758,0.990990990990991,0.9796954314720813,0.8412698412698413
