cr_year,issn_l,collection,articles,oa_articles
2017,0071-1365,de,4,0
2017,0071-1365,global,64,16
2017,0143-5221,de,8,0
2017,0143-5221,global,201,33
2017,0264-6021,de,11,2
2017,0264-6021,global,264,58
2017,0300-5127,de,10,2
2017,0300-5127,global,137,26
2017,2397-8554,de,0,0
2017,2397-8554,global,68,21
2018,0071-1365,de,7,2
2018,0071-1365,global,56,24
2018,0143-5221,de,4,0
2018,0143-5221,global,180,21
2018,0264-6021,de,11,3
2018,0264-6021,global,248,48
2018,0300-5127,de,8,2
2018,0300-5127,global,165,45
2018,2397-8554,de,5,1
2018,2397-8554,global,75,15
2019,0071-1365,de,6,3
2019,0071-1365,global,68,24
2019,0143-5221,de,4,0
2019,0143-5221,global,170,28
2019,0264-6021,de,13,2
2019,0264-6021,global,242,42
2019,0300-5127,de,17,2
2019,0300-5127,global,159,45
2019,2397-8554,de,8,3
2019,2397-8554,global,80,19
2020,0071-1365,de,0,0
2020,0071-1365,global,66,20
2020,0143-5221,de,4,3
2020,0143-5221,global,213,142
2020,0264-6021,de,18,13
2020,0264-6021,global,293,232
2020,0300-5127,de,11,1
2020,0300-5127,global,233,96
2020,2397-8554,de,1,1
2020,2397-8554,global,57,26
2021,0071-1365,de,9,4
2021,0071-1365,global,92,40
2021,0143-5221,de,8,7
2021,0143-5221,global,168,117
2021,0264-6021,de,13,10
2021,0264-6021,global,252,188
2021,0300-5127,de,19,10
2021,0300-5127,global,240,125
2021,2397-8554,de,0,0
2021,2397-8554,global,80,40
2022,0071-1365,de,6,3
2022,0071-1365,global,89,41
2022,0143-5221,de,1,1
2022,0143-5221,global,116,81
2022,0264-6021,de,9,8
2022,0264-6021,global,145,122
2022,0300-5127,de,6,5
2022,0300-5127,global,158,88
2022,2397-8554,de,2,2
2022,2397-8554,global,57,28
2023,0071-1365,de,4,2
2023,0071-1365,global,79,46
2023,0143-5221,de,1,1
2023,0143-5221,global,112,91
2023,0264-6021,de,2,2
2023,0264-6021,global,121,100
2023,0300-5127,de,9,3
2023,0300-5127,global,174,99
2023,2397-8554,de,1,1
2023,2397-8554,global,39,22
2024,0071-1365,de,2,2
2024,0071-1365,global,54,35
2024,0143-5221,de,3,3
2024,0143-5221,global,96,83
2024,0264-6021,de,4,4
2024,0264-6021,global,112,92
2024,0300-5127,de,12,8
2024,0300-5127,global,209,133
2024,2397-8554,de,0,0
2024,2397-8554,global,1,1
2025,0071-1365,de,2,2
2025,0071-1365,global,48,48
2025,0143-5221,de,5,4
2025,0143-5221,global,106,103
2025,0264-6021,de,3,3
2025,0264-6021,global,131,131
2025,0300-5127,de,7,7
2025,0300-5127,global,124,122
2025,2397-8554,de,1,1
2025,2397-8554,global,29,29
2026,0071-1365,de,2,2
2026,0071-1365,global,29,29
2026,0143-5221,de,1,1
2026,0143-5221,global,91,79
2026,0264-6021,de,3,2
2026,0264-6021,global,84,73
2026,0300-5127,de,6,6
2026,0300-5127,global,66,65
2026,2397-8554,de,0,0
2026,2397-8554,global,1,1
