cr_year,cc,cc_total,jn_all,prop
2017,CC BY,23,17451,0.0013179760472179244
2017,CC BY-SA,0,NA,0
2017,CC BY-NC,90,17451,0.005157297576070139
2017,CC BY-NC-SA,0,NA,0
2017,CC BY-ND,0,NA,0
2017,CC BY-NC-ND,292,17451,0.01673256546902756
2018,CC BY,24,17042,0.0014082854125102688
2018,CC BY-SA,0,NA,0
2018,CC BY-NC,97,17042,0.005691820208895669
2018,CC BY-NC-SA,0,NA,0
2018,CC BY-ND,0,NA,0
2018,CC BY-NC-ND,256,17042,0.0150217110667762
2019,CC BY,132,17959,0.007350075171223342
2019,CC BY-SA,0,NA,0
2019,CC BY-NC,332,17959,0.01848655270337992
2019,CC BY-NC-SA,0,NA,0
2019,CC BY-ND,0,NA,0
2019,CC BY-NC-ND,230,17959,0.012806949161980066
2020,CC BY,562,17988,0.031243050922837447
2020,CC BY-SA,0,NA,0
2020,CC BY-NC,1309,17988,0.07277073604625306
2020,CC BY-NC-SA,0,NA,0
2020,CC BY-ND,0,NA,0
2020,CC BY-NC-ND,355,17988,0.019735379141649988
2021,CC BY,648,17107,0.03787923072426492
2021,CC BY-SA,0,NA,0
2021,CC BY-NC,1391,17107,0.08131174373063658
2021,CC BY-NC-SA,0,NA,0
2021,CC BY-ND,0,NA,0
2021,CC BY-NC-ND,299,17107,0.017478225287893844
2022,CC BY,632,16001,0.03949753140428723
2022,CC BY-SA,0,NA,0
2022,CC BY-NC,973,16001,0.060808699456283984
2022,CC BY-NC-SA,0,NA,0
2022,CC BY-ND,0,NA,0
2022,CC BY-NC-ND,285,16001,0.01781138678832573
2023,CC BY,475,14094,0.03370228466013907
2023,CC BY-SA,0,NA,0
2023,CC BY-NC,1087,14094,0.07712501773804456
2023,CC BY-NC-SA,0,NA,0
2023,CC BY-ND,0,NA,0
2023,CC BY-NC-ND,293,14094,0.020788988221938413
2024,CC BY,492,14696,0.033478497550353835
2024,CC BY-SA,0,NA,0
2024,CC BY-NC,1196,14696,0.08138268916712031
2024,CC BY-NC-SA,0,NA,0
2024,CC BY-ND,0,NA,0
2024,CC BY-NC-ND,161,14696,0.010955362003266194
2025,CC BY,296,10638,0.027824779093814627
2025,CC BY-SA,0,NA,0
2025,CC BY-NC,667,10638,0.0626997555931566
2025,CC BY-NC-SA,0,NA,0
2025,CC BY-ND,0,NA,0
2025,CC BY-NC-ND,50,10638,0.004700131603684903
