cr_year,jn_all,cc,cc_total,prop
2017,16856,CC BY,307,0.01821309919316564
2017,16856,CC BY-SA,0,0
2017,16856,CC BY-NC,13,7.712387280493592e-4
2017,16856,CC BY-NC-SA,1,5.932605600379687e-5
2017,16856,CC BY-ND,0,0
2017,16856,CC BY-NC-ND,590,0.03500237304224015
2018,16854,CC BY,342,0.02029191883232467
2018,16854,CC BY-SA,0,0
2018,16854,CC BY-NC,22,0.0013053281120208853
2018,16854,CC BY-NC-SA,0,0
2018,16854,CC BY-ND,0,0
2018,16854,CC BY-NC-ND,730,0.04331316008069301
2019,16299,CC BY,438,0.026872814283084853
2019,16299,CC BY-SA,0,0
2019,16299,CC BY-NC,19,0.0011657156880790233
2019,16299,CC BY-NC-SA,1,6.135345726731701e-5
2019,16299,CC BY-ND,0,0
2019,16299,CC BY-NC-ND,813,0.04988036075832873
2020,15350,CC BY,605,0.039413680781758956
2020,15350,CC BY-SA,0,0
2020,15350,CC BY-NC,24,0.0015635179153094462
2020,15350,CC BY-NC-SA,0,0
2020,15350,CC BY-ND,0,0
2020,15350,CC BY-NC-ND,1006,0.06553745928338763
2021,15670,CC BY,1212,0.07734524569240588
2021,15670,CC BY-SA,0,0
2021,15670,CC BY-NC,31,0.0019783024888321635
2021,15670,CC BY-NC-SA,1,6.381620931716656e-5
2021,15670,CC BY-ND,0,0
2021,15670,CC BY-NC-ND,1280,0.0816847479259732
2022,13965,CC BY,1603,0.11478696741854637
2022,13965,CC BY-SA,0,0
2022,13965,CC BY-NC,86,0.0061582527747941285
2022,13965,CC BY-NC-SA,0,0
2022,13965,CC BY-ND,0,0
2022,13965,CC BY-NC-ND,1183,0.08471177944862156
2023,13343,CC BY,1837,0.13767518549051938
2023,13343,CC BY-SA,0,0
2023,13343,CC BY-NC,161,0.01206625196732369
2023,13343,CC BY-NC-SA,0,0
2023,13343,CC BY-ND,0,0
2023,13343,CC BY-NC-ND,1163,0.08716180768942516
2024,11754,CC BY,4961,0.4220690828654075
2024,11754,CC BY-SA,0,0
2024,11754,CC BY-NC,991,0.08431172366853837
2024,11754,CC BY-NC-SA,0,0
2024,11754,CC BY-ND,0,0
2024,11754,CC BY-NC-ND,1545,0.13144461459928536
2025,5244,CC BY,3055,0.5825705568268498
2025,5244,CC BY-SA,0,0
2025,5244,CC BY-NC,305,0.05816170861937452
2025,5244,CC BY-NC-SA,1,1.9069412662090009e-4
2025,5244,CC BY-ND,0,0
2025,5244,CC BY-NC-ND,602,0.11479786422578185
