cr_year,issn_l,collection,articles,oa_articles
2017,0001-2998,de,3,0
2017,0001-2998,global,60,1
2017,0001-4575,de,8,1
2017,0001-4575,global,341,12
2017,0001-6519,de,1,0
2017,0001-6519,global,75,0
2017,0001-706X,de,7,2
2017,0001-706X,global,402,21
2017,0001-8686,de,10,0
2017,0001-8686,global,175,3
2017,0001-8708,de,32,1
2017,0001-8708,global,472,14
2017,0001-8791,de,6,0
2017,0001-8791,global,91,1
2017,0002-8703,de,5,1
2017,0002-8703,global,253,22
2017,0002-9149,de,19,0
2017,0002-9149,global,937,29
2017,0002-9165,de,12,0
2017,0002-9165,global,994,58
2017,0002-9297,de,9,2
2017,0002-9297,global,209,30
2017,0002-9343,de,8,0
2017,0002-9343,global,577,9
2017,0002-9378,de,0,0
2017,0002-9378,global,648,18
2017,0002-9394,de,10,0
2017,0002-9394,global,413,13
2017,0002-9440,de,20,2
2017,0002-9440,global,269,13
2017,0002-9610,de,5,0
2017,0002-9610,global,462,2
2017,0002-9629,de,0,0
2017,0002-9629,global,259,4
2017,0003-2670,de,18,1
2017,0003-2670,global,611,15
2017,0003-2697,de,11,0
2017,0003-2697,global,308,16
2017,0003-3472,de,28,2
2017,0003-3472,global,369,25
2017,0003-4266,de,0,0
2017,0003-4266,global,794,0
2017,0003-4487,de,0,0
2017,0003-4487,global,172,0
2017,0003-4916,de,9,0
2017,0003-4916,global,273,0
2017,0003-4975,de,45,0
2017,0003-4975,global,1103,5
2017,0003-682X,de,5,0
2017,0003-682X,global,284,6
2017,0003-6870,de,12,0
2017,0003-6870,global,290,20
2017,0003-9861,de,5,1
2017,0003-9861,global,210,7
2017,0003-9969,de,7,1
2017,0003-9969,global,328,2
2017,0003-9993,de,8,0
2017,0003-9993,global,891,7
2017,0004-3702,de,12,0
2017,0004-3702,global,93,5
2017,0005-1098,de,20,0
2017,0005-1098,global,509,7
2017,0005-2728,de,5,0
2017,0005-2728,global,103,9
2017,0005-2736,de,22,1
2017,0005-2736,global,250,12
2017,0005-7894,de,2,0
2017,0005-7894,global,71,1
2017,0005-7916,de,30,2
2017,0005-7916,global,106,4
2017,0005-7967,de,12,0
2017,0005-7967,global,170,14
2017,0006-291X,de,31,2
2017,0006-291X,global,2005,93
2017,0006-2952,de,19,0
2017,0006-2952,global,414,10
2017,0006-3207,de,12,0
2017,0006-3207,global,435,36
2017,0006-3223,de,10,1
2017,0006-3223,global,407,33
2017,0006-3495,de,192,9
2017,0006-3495,global,3483,72
2017,0006-8993,de,13,0
2017,0006-8993,global,395,10
2017,0007-0912,de,16,1
2017,0007-0912,global,501,14
2017,0007-4497,de,1,0
2017,0007-4497,global,28,0
2017,0007-4551,de,0,0
2017,0007-4551,global,158,0
2017,0007-6813,de,2,0
2017,0007-6813,global,92,6
2017,0007-8506,de,32,0
2017,0007-8506,global,151,2
2017,0007-9960,de,0,0
2017,0007-9960,global,56,0
2017,0008-4182,de,1,0
2017,0008-4182,global,227,5
2017,0008-6215,de,5,0
2017,0008-6215,global,196,10
2017,0008-6223,de,41,3
2017,0008-6223,global,1162,24
2017,0008-8749,de,3,0
2017,0008-8749,global,118,4
2017,0008-8846,de,19,0
2017,0008-8846,global,198,7
2017,0009-2509,de,57,2
2017,0009-2509,global,706,33
2017,0009-2541,de,32,2
2017,0009-2541,global,387,20
2017,0009-2614,de,22,1
2017,0009-2614,global,891,15
2017,0009-2797,de,3,0
2017,0009-2797,global,283,4
2017,0009-2819,de,4,0
2017,0009-2819,global,40,2
2017,0009-3084,de,5,0
2017,0009-3084,global,101,2
2017,0009-739X,de,0,0
2017,0009-739X,global,147,0
2017,0009-8981,de,9,1
2017,0009-8981,global,371,11
2017,0009-9120,de,11,1
2017,0009-9120,global,248,15
2017,0009-9260,de,9,0
2017,0009-9260,global,254,2
2017,0010-0277,de,21,4
2017,0010-0277,global,232,22
2017,0010-0285,de,5,0
2017,0010-0285,global,36,5
2017,0010-2180,de,35,1
2017,0010-2180,global,355,10
2017,0010-4485,de,6,0
2017,0010-4485,global,88,1
2017,0010-4655,de,43,2
2017,0010-4655,global,283,14
2017,0010-4825,de,6,0
2017,0010-4825,global,286,2
2017,0010-7824,de,4,0
2017,0010-7824,global,333,18
2017,0010-8545,de,13,0
2017,0010-8545,global,237,2
2017,0010-938X,de,8,1
2017,0010-938X,global,324,8
2017,0010-9452,de,31,3
2017,0010-9452,global,270,34
2017,0011-2240,de,2,0
2017,0011-2240,global,126,3
2017,0011-2275,de,4,0
2017,0011-2275,global,108,3
2017,0011-3840,de,0,0
2017,0011-3840,global,60,1
2017,0011-5029,de,0,0
2017,0011-5029,global,71,1
2017,0011-8486,de,0,0
2017,0011-8486,global,298,0
2017,0011-8532,de,0,0
2017,0011-8532,global,71,0
2017,0011-9164,de,6,0
2017,0011-9164,global,424,1
2017,0012-1606,de,15,5
2017,0012-1606,global,330,58
2017,0012-365X,de,10,0
2017,0012-365X,global,350,1
2017,0012-3692,de,8,1
2017,0012-3692,global,1827,21
2017,0012-821X,de,53,4
2017,0012-821X,global,590,72
2017,0012-8252,de,7,3
2017,0012-8252,global,145,15
2017,0013-4686,de,92,5
2017,0013-4686,global,2304,33
2017,0013-7006,de,0,0
2017,0013-7006,global,102,0
2017,0013-7944,de,19,0
2017,0013-7944,global,387,3
2017,0013-7952,de,8,0
2017,0013-7952,global,270,4
2017,0013-9351,de,9,0
2017,0013-9351,global,481,31
2017,0014-2565,de,0,0
2017,0014-2565,global,126,0
2017,0014-2921,de,32,2
2017,0014-2921,global,142,3
2017,0014-2999,de,7,0
2017,0014-2999,global,537,12
2017,0014-3057,de,18,0
2017,0014-3057,global,564,14
2017,0014-3855,de,1,0
2017,0014-3855,global,84,0
2017,0014-4827,de,11,2
2017,0014-4827,global,439,23
2017,0014-4835,de,8,1
2017,0014-4835,global,191,11
2017,0014-4886,de,15,0
2017,0014-4886,global,225,14
2017,0014-4894,de,14,4
2017,0014-4894,global,157,6
2017,0014-4983,de,1,0
2017,0014-4983,global,39,0
2017,0015-0282,de,7,0
2017,0015-0282,global,1519,14
2017,0015-1882,de,0,0
2017,0015-1882,global,273,0
2017,0016-0032,de,4,0
2017,0016-0032,global,452,0
2017,0016-2361,de,61,1
2017,0016-2361,global,1338,26
2017,0016-3287,de,3,1
2017,0016-3287,global,88,20
2017,0016-5085,de,22,4
2017,0016-5085,global,722,30
2017,0016-5107,de,24,0
2017,0016-5107,global,2064,7
2017,0016-6480,de,0,0
2017,0016-6480,global,285,6
2017,0016-6995,de,2,0
2017,0016-6995,global,34,0
2017,0016-7037,de,58,2
2017,0016-7037,global,528,40
2017,0016-7185,de,8,2
2017,0016-7185,global,238,25
2017,0016-7878,de,0,0
2017,0016-7878,global,78,5
2017,0017-9310,de,36,0
2017,0017-9310,global,1554,18
2017,0018-442X,de,2,0
2017,0018-442X,global,43,0
2017,0018-506X,de,13,1
2017,0018-506X,global,181,7
2017,0019-0578,de,2,0
2017,0019-0578,global,262,0
2017,0019-1035,de,24,2
2017,0019-1035,global,389,31
2017,0019-3577,de,7,0
2017,0019-3577,global,93,1
2017,0019-4522,de,0,0
2017,0019-4522,global,0,0
2017,0019-8501,de,4,0
2017,0019-8501,global,145,8
2017,0020-0190,de,6,0
2017,0020-0190,global,122,1
2017,0020-0255,de,2,0
2017,0020-0255,global,591,4
2017,0020-1383,de,27,1
2017,0020-1383,global,491,12
2017,0020-1693,de,13,0
2017,0020-1693,global,574,3
2017,0020-7225,de,6,0
2017,0020-7225,global,108,1
2017,0020-7403,de,7,1
2017,0020-7403,global,523,7
2017,0020-7462,de,6,0
2017,0020-7462,global,192,2
2017,0020-7489,de,7,1
2017,0020-7489,global,166,9
2017,0020-7519,de,5,2
2017,0020-7519,global,99,17
2017,0020-7683,de,21,1
2017,0020-7683,global,366,11
2017,0021-7824,de,3,0
2017,0021-7824,global,67,2
2017,0021-8502,de,7,2
2017,0021-8502,global,146,5
2017,0021-8693,de,40,0
2017,0021-8693,global,490,1
2017,0021-9045,de,8,0
2017,0021-9045,global,70,0
2017,0021-9150,de,43,1
2017,0021-9150,global,1264,39
2017,0021-9290,de,13,0
2017,0021-9290,global,434,17
2017,0021-9517,de,21,0
2017,0021-9517,global,358,8
2017,0021-9614,de,6,0
2017,0021-9614,global,368,1
2017,0021-9673,de,53,3
2017,0021-9673,global,907,30
2017,0021-9797,de,22,1
2017,0021-9797,global,1207,14
