esac_publisher,cat,name,2017,2018,2019,2020,2021,2022,2023,2024,2025
IEEE,Germany,TDM Support,0,0,0,0,0,0,0,0,0
IEEE,Germany,ORCID,0.5454545454545454,0.9411764705882353,1,0.9463087248322147,0.946078431372549,0.9734848484848485,1,0.9829059829059829,0.9707602339181286
IEEE,Germany,Funder info,0.8181818181818182,0.8235294117647058,0.8292682926829268,0.7651006711409396,0.7205882352941176,0.7462121212121212,0.7083333333333334,0.7521367521367521,0.6578947368421053
IEEE,Germany,Open Abstracts,0,0,0,0,0,0,0,0,0
IEEE,Germany,Open Citations,1,1,1,1,1,0.9962121212121212,1,0.9658119658119658,0.7923976608187134
IEEE,Global,TDM Support,0.043256997455470736,0.00196078431372549,0,0,0,0,0,0,0
IEEE,Global,ORCID,0.55470737913486,0.9372549019607843,0.9484732824427481,0.9461756373937678,0.9276225377920293,0.982078853046595,0.9988027536665669,0.9923928077455049,0.9403543798352882
IEEE,Global,Funder info,0.8829516539440203,0.8823529411764706,0.8778625954198473,0.8328611898016998,0.8382959230416858,0.8142717497556208,0.7713259503142772,0.7593360995850622,0.7007736461192913
IEEE,Global,Open Abstracts,0,0,0,0,0,0,2.99311583358276e-4,0.0018441678192715537,4.991265285749938e-4
IEEE,Global,Open Citations,1,0.996078431372549,0.9961832061068703,0.9950424929178471,0.9977095739807604,0.992831541218638,1,0.970954356846473,0.7686548540054904
