cr_year,cc,cc_total,jn_all,prop
2017,CC BY,33,51961,6.350917033929294e-4
2017,CC BY-SA,0,NA,0
2017,CC BY-NC,5,51961,9.622601566559535e-5
2017,CC BY-NC-SA,0,NA,0
2017,CC BY-ND,0,NA,0
2017,CC BY-NC-ND,3,51961,5.773560939935721e-5
2018,CC BY,38,57240,6.638714185883997e-4
2018,CC BY-SA,0,NA,0
2018,CC BY-NC,3,57240,5.241090146750524e-5
2018,CC BY-NC-SA,0,NA,0
2018,CC BY-ND,0,NA,0
2018,CC BY-NC-ND,14,57240,2.445842068483578e-4
2019,CC BY,43,60089,7.156051856412988e-4
2019,CC BY-SA,0,NA,0
2019,CC BY-NC,7,60089,1.1649386742997886e-4
2019,CC BY-NC-SA,0,NA,0
2019,CC BY-ND,0,NA,0
2019,CC BY-NC-ND,28,60089,4.6597546971991545e-4
2020,CC BY,533,62014,0.00859483342471055
2020,CC BY-SA,0,NA,0
2020,CC BY-NC,5,62014,8.06269552036637e-5
2020,CC BY-NC-SA,0,NA,0
2020,CC BY-ND,0,NA,0
2020,CC BY-NC-ND,133,62014,0.002144677008417454
2021,CC BY,3864,63877,0.060491256633843166
2021,CC BY-SA,0,NA,0
2021,CC BY-NC,2,63877,3.131017424111965e-5
2021,CC BY-NC-SA,0,NA,0
2021,CC BY-ND,0,NA,0
2021,CC BY-NC-ND,2487,63877,0.03893420166883229
2022,CC BY,5886,62475,0.09421368547418968
2022,CC BY-SA,0,NA,0
2022,CC BY-NC,4,62475,6.402561024409764e-5
2022,CC BY-NC-SA,0,NA,0
2022,CC BY-ND,0,NA,0
2022,CC BY-NC-ND,1913,62475,0.030620248099239696
2023,CC BY,8346,66233,0.1260096930533118
2023,CC BY-SA,0,NA,0
2023,CC BY-NC,7,66233,1.0568749716908489e-4
2023,CC BY-NC-SA,0,NA,0
2023,CC BY-ND,0,NA,0
2023,CC BY-NC-ND,1901,66233,0.0287017045883472
2024,CC BY,10131,74546,0.13590266412684784
2024,CC BY-SA,0,NA,0
2024,CC BY-NC,4,74546,5.365814396480026e-5
2024,CC BY-NC-SA,0,NA,0
2024,CC BY-ND,0,NA,0
2024,CC BY-NC-ND,2696,74546,0.036165589032275375
2025,CC BY,9223,60815,0.15165666365205951
2025,CC BY-SA,0,NA,0
2025,CC BY-NC,3,60815,4.9329935048918856e-5
2025,CC BY-NC-SA,0,NA,0
2025,CC BY-ND,0,NA,0
2025,CC BY-NC-ND,2280,60815,0.03749075063717833
