esac_publisher,cat,name,2017,2018,2019,2020,2021,2022,2023,2024
ECS (TIB),Germany,TDM Support,NA,0,0.022222222222222223,1,1,1,1,1
ECS (TIB),Germany,ORCID,NA,0.9866666666666667,0.9888888888888889,0.8352941176470589,1,1,1,1
ECS (TIB),Germany,Funder info,NA,0.7066666666666667,0.6444444444444445,0.6588235294117647,0.6794871794871795,0.7341772151898734,0.7096774193548387,0.7407407407407407
ECS (TIB),Germany,Open Abstracts,NA,0,0.022222222222222223,0.9764705882352941,0.9358974358974359,1,0.956989247311828,1
ECS (TIB),Germany,Open Citations,NA,1,1,1,1,1,0.967741935483871,1
ECS (TIB),Global,TDM Support,NA,0,0.05541871921182266,1,1,1,1,1
ECS (TIB),Global,ORCID,NA,0.9846390168970814,0.9987684729064039,0.8119266055045872,0.9968,0.9980769230769231,1,1
ECS (TIB),Global,Funder info,NA,0.7035330261136713,0.6096059113300493,0.6869266055045872,0.6832,0.7461538461538462,0.740234375,0.7170418006430869
ECS (TIB),Global,Open Abstracts,NA,0,0.05541871921182266,0.9644495412844036,0.8928,0.9961538461538462,0.986328125,0.9935691318327974
ECS (TIB),Global,Open Citations,NA,1,0.9987684729064039,0.9965596330275229,0.9968,0.9961538461538462,0.98828125,0.9935691318327974
